,geometry,section,year,floor,hall name
1361,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1950,2,['South Asiatic Mammal Hall']
1362,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1953,1,"['Fish Hall', 'Fishes', 'Hall of Fishes']"
1363,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1953,2,"['South Asiatic Hall', 'South Asiatic Mammal Hall', 'South Asiatic Mammals', 'Vernay-Faunthorpe Hall of South Asiatic Mammals']"
1364,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1953,3,"['Hall of Living Reptiles', 'Reptile Hall', 'Reptiles']"
1365,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1953,4,"['Cretaceous Dinosaur Hall', 'Second Fossil Hall -- Cretaceous Dinosaurs', 'Second Fossil Hall -- Late Dinosaurs']"
1366,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1954,4,['Cretaceous Hall']
1367,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1955,4,['Tyrannosaur Hall']
1368,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1956,1,"['Fish Hall', 'Hall of Fishes']"
1369,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1956,2,"['South Asiatic Mammal Hall', 'Vernay-Faunthorpe Hall of South Asiatic Mammals']"
1370,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1956,3,"['Hall of Living Reptiles', 'Reptile Hall']"
1371,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1956,4,"['Late Dinosaurs -- Tyrannosaur Hall', 'Tyrannosaur Hall', 'Tyrannosaur Hall']"
1372,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1957,1,['Hall of Fishes']
1373,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1957,2,['Vernay-Faunthorpe Hall of South Asiatic Mammals']
1374,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1957,4,"['Cretaceous Hall', 'Tyrannosaur Hall']"
1375,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1958,1,"['Fish Hall', 'Hall of Fishes']"
1376,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1958,2,"['South Asiatic Mammal Hall', 'Vernay-Faunthorpe Hall of South Asiatic Mammals']"
1377,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1958,3,"['Hall of Living Reptiles', 'Reptile Hall']"
1378,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1958,4,"['Late Dinosaurs -- Tyrannosaur Hall', 'Tyrannosaur Hall']"
1379,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1960,1,"['Biology of Invertebrates', 'Hall of the Biology of Invertebrates']"
1380,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1961,1,"['Biology of Living Invertebrates', 'Hall of Fishes', 'Hall of the Biology of Invertebrates']"
1381,"POLYGON ((-73.97371041560721 40.78043909272829, -73.97343870355076 40.78081460489621, -73.97324942099458 40.78073522834038, -73.97351502716212 40.78036276911693, -73.97371041560721 40.78043909272829))",9,1962,1,"['Fishes', 'Hall of Fishes', 'Hall of the Biology of Invertebrates', 'Hall of the Biology of Invertebrates ']"
